"Weather Station","month","Average Snow Fall","Average Snow Depth)","Average Maximum Snow Depth"
"St_christol",4,"0.75","0.07","1.25"
"St_christol",5,"0.00","0.00","0.00"
"St_christol",6,"0.00","0.00","0.00"
"St_christol",7,"0.00","0.00","0.00"
"St_christol",8,"0.00","0.00","0.00"
"St_christol",9,"0.00","0.00","0.00"
"St_christol",10,"0.00","0.00","0.00"
"St_christol",11,"4.60","0.24","3.40"
"St_christol",12,"15.00","1.61","10.57"
"St_christophe_38375001",1,"93.89","49.52","77.60"
"St_christophe_38375001",2,"85.31","65.41","87.75"
"St_christophe_38375001",3,"74.46","54.21","82.81"
"St_christophe_38375001",4,"44.59","17.20","46.85"
"St_christophe_38375001",5,"8.60","0.61","7.84"
"St_christophe_38375001",6,"0.38","0.02","0.44"
"St_christophe_38375001",7,"0.00","0.00","0.00"
"St_christophe_38375001",8,"0.02","0.00","0.00"
"St_christophe_38375001",9,"0.91","0.04","0.76"
"St_christophe_38375001",10,"10.85","0.64","6.93"
"St_christophe_38375001",11,"49.98","6.74","27.00"
"St_christophe_38375001",12,"79.91","26.75","52.36"
"St_christophe_38375400",1,"85.28","38.12","63.92"
"St_christophe_38375400",2,"75.00","55.35","76.00"
"St_christophe_38375400",3,"58.75","46.48","75.17"
"St_christophe_38375400",4,"29.05","10.08","34.14"
"St_christophe_38375400",5,"7.40","0.42","6.00"
"St_christophe_38375400",6,"0.13","0.02","0.31"
"St_christophe_38375400",7,"0.00","0.00","0.00"
"St_christophe_38375400",8,"0.05","0.00","0.00"
"St_christophe_38375400",9,"0.59","0.02","0.59"
"St_christophe_38375400",10,"8.59","0.45","5.24"
"St_christophe_38375400",11,"42.05","5.36","24.85"
"St_christophe_38375400",12,"68.48","21.94","45.83"
"St_colomban_des_villards",1,"79.21","34.54","60.10"
"St_colomban_des_villards",2,"71.75","46.99","69.68"
"St_colomban_des_villards",3,"44.70","27.44","57.67"
"St_colomban_des_villards",4,"28.78","5.20","26.26"
"St_colomban_des_villards",5,"3.69","0.13","2.55"
"St_colomban_des_villards",6,"0.00","0.01","0.18"
"St_colomban_des_villards",7,"0.00","0.00","0.00"
"St_colomban_des_villards",8,"0.00","0.00","0.00"
"St_colomban_des_villards",9,"0.00","0.00","0.00"
"St_colomban_des_villards",10,"4.32","0.20","3.06"
"St_colomban_des_villards",11,"34.07","4.18","19.93"
"St_colomban_des_villards",12,"67.37","17.97","41.00"
"St_etienne_en_devoluy",1,"43.11","12.89","29.56"
"St_etienne_en_devoluy",2,"38.00","15.14","29.79"
"St_etienne_en_devoluy",3,"26.08","5.67","21.44"
"St_etienne_en_devoluy",4,"13.59","0.93","9.55"
"St_etienne_en_devoluy",5,"1.75","0.13","2.38"
"St_etienne_en_devoluy",6,"0.00","0.00","0.05"
"St_etienne_en_devoluy",7,"0.00","0.00","0.00"
"St_etienne_en_devoluy",8,"0.00","0.00","0.00"
"St_etienne_en_devoluy",9,"0.00","0.00","0.00"
"St_etienne_en_devoluy",10,"2.14","0.10","1.36"
"St_etienne_en_devoluy",11,"21.09","2.21","13.64"
"St_etienne_en_devoluy",12,"37.23","8.41","24.05"
"St_francois_long",1,"124.13","51.65","88.04"
"St_francois_long",2,"96.60","71.99","101.16"
"St_francois_long",3,"74.04","56.89","92.00"
"St_hilaire",1,"51.05","9.79","29.35"
"St_hilaire",2,"41.67","12.89","31.13"
"St_hilaire",3,"21.69","4.78","23.50"
"St_hilaire",4,"8.31","0.54","6.00"
"St_hilaire",5,"2.11","0.07","1.78"
"St_hilaire",6,"0.00","0.00","0.00"
"St_hilaire",7,"0.00","0.00","0.00"
"St_hilaire",8,"0.00","0.00","0.00"
"St_hilaire",9,"0.00","0.00","0.00"
"St_hilaire",10,"2.86","0.18","2.29"
"St_hilaire",11,"12.67","1.17","10.44"
"St_hilaire",12,"32.88","6.39","33.29"
"St_jean_d_arves",1,"57.71","22.78","41.64"
"St_jean_d_arves",2,"52.83","26.73","43.08"
"St_jean_d_arves",3,"28.94","8.43","25.56"
"St_jean_d_arves",4,"20.20","0.89","11.05"
"St_jean_d_arves",5,"1.86","0.05","1.32"
"St_jean_d_arves",6,"0.41","0.02","0.64"
"St_jean_d_arves",7,"0.00","0.00","0.00"
"St_jean_d_arves",8,"0.00","0.00","0.00"
"St_jean_d_arves",9,"0.00","0.00","0.00"
"St_jean_d_arves",10,"6.14","0.28","4.00"
"St_jean_d_arves",11,"29.58","2.42","16.79"
"St_jean_d_arves",12,"53.87","12.86","31.07"
"St_jean_de_belleville",1,"59.04","24.73","46.96"
"St_jean_de_belleville",2,"60.88","26.64","56.00"
"St_jean_de_belleville",3,"38.68","8.07","26.16"
"St_jean_de_belleville",4,"18.28","1.71","11.45"
"St_jean_de_belleville",5,"2.15","0.08","1.97"
"St_jean_de_belleville",6,"0.03","0.01","0.16"
"St_jean_de_belleville",7,"0.00","0.00","0.00"
"St_jean_de_belleville",8,"0.00","0.00","0.00"
"St_jean_de_belleville",9,"0.00","0.00","0.00"
"St_jean_de_belleville",10,"2.98","0.13","2.00"
"St_jean_de_belleville",11,"25.40","2.06","14.40"
"St_jean_de_belleville",12,"48.26","10.89","28.65"
"St_martin_de_belleville",1,"78.32","42.33","65.77"
"St_martin_de_belleville",2,"66.81","51.34","75.72"
"St_martin_de_belleville",3,"55.19","30.22","56.68"
"St_martin_de_belleville",4,"34.23","6.02","23.95"
"St_martin_de_belleville",5,"8.30","0.31","5.18"
"St_martin_de_belleville",6,"0.33","0.04","1.18"
"St_martin_de_belleville",7,"0.00","0.00","0.00"
"St_martin_de_belleville",8,"0.00","0.00","0.00"
"St_martin_de_belleville",9,"1.41","0.05","0.89"
"St_martin_de_belleville",10,"12.04","0.74","7.28"
"St_martin_de_belleville",11,"45.33","5.57","24.12"
"St_martin_de_belleville",12,"71.95","24.14","46.80"
"St_michel_de_maurienne",1,"77.23","25.61","51.40"
"St_michel_de_maurienne",2,"65.46","28.08","52.32"
"St_michel_de_maurienne",3,"51.17","10.48","34.41"
"St_michel_de_maurienne",4,"30.82","2.34","16.87"
"St_michel_de_maurienne",5,"6.10","0.22","5.22"
"St_michel_de_maurienne",6,"0.17","0.02","0.50"
"St_michel_de_maurienne",7,"0.00","0.00","0.00"
"St_michel_de_maurienne",8,"0.00","0.00","0.00"
"St_michel_de_maurienne",9,"0.18","0.01","0.13"
"St_michel_de_maurienne",10,"7.93","0.35","4.73"
"St_michel_de_maurienne",11,"39.62","3.72","20.74"
"St_michel_de_maurienne",12,"71.95","14.55","39.25"
"St_pal_en_chal_meallet",1,"33.80","3.28","17.20"
"St_pal_en_chal_meallet",2,"20.40","3.50","14.00"
"St_pal_en_chal_meallet",3,"8.80","0.34","3.20"
"St_pal_en_chal_meallet",4,"2.20","0.01","0.20"
"St_pal_en_chal_meallet",5,"1.40","0.11","3.20"
"St_pal_en_chal_meallet",6,"0.00","0.00","0.00"
"St_pal_en_chal_meallet",7,"0.00","0.00","0.00"
"St_pal_en_chal_meallet",8,"0.00","0.00","0.00"
"St_pal_en_chal_meallet",9,"0.00","0.00","0.00"
"St_pal_en_chal_meallet",10,"14.50","0.65","13.50"
"St_pal_en_chal_meallet",11,"10.25","0.48","3.75"
"St_pal_en_chal_meallet",12,"11.40","1.48","7.40"
"St_paul",1,"72.61","54.90","77.66"
"St_paul",2,"66.13","72.43","93.26"
"St_paul",3,"67.60","61.81","92.20"
"St_paul",4,"43.90","25.31","56.33"
"St_paul",5,"8.46","1.25","8.69"
"St_paul",6,"1.18","0.07","1.26"
"St_paul",7,"0.06","0.00","0.06"
"St_paul",8,"0.00","0.00","0.00"
"St_paul",9,"1.75","0.05","1.19"
"St_paul",10,"16.14","0.99","10.35"
"St_paul",11,"33.33","5.63","20.33"
"St_paul",12,"69.12","29.48","50.86"
"St_pierre_de_chartreuse",1,"143.25","94.42","139.00"
"St_pierre_de_chartreuse",2,"124.61","136.14","164.11"
"St_pierre_de_chartreuse",3,"175.50","177.73","211.50"
"St_sorlin_d_arves_73280001",1,"104.37","56.75","86.48"
"St_sorlin_d_arves_73280001",2,"86.92","77.92","100.65"
"St_sorlin_d_arves_73280001",3,"59.07","61.45","92.18"
"St_sorlin_d_arves_73280001",4,"34.22","17.58","45.74"
"St_sorlin_d_arves_73280001",5,"5.93","0.40","6.07"
"St_sorlin_d_arves_73280001",6,"0.69","0.06","1.38"
"St_sorlin_d_arves_73280001",7,"0.00","0.00","0.00"
"St_sorlin_d_arves_73280001",8,"0.00","0.00","0.00"
"St_sorlin_d_arves_73280001",9,"0.00","0.00","0.00"
"St_sorlin_d_arves_73280001",10,"14.70","0.55","6.89"
"St_sorlin_d_arves_73280001",11,"57.59","7.32","28.93"
"St_sorlin_d_arves_73280001",12,"95.93","29.83","57.33"
"St_sorlin_d_arves_73280402",1,"197.00","125.38","167.00"
"St_sorlin_d_arves_73280402",2,"108.33","142.41","165.00"
"St_sorlin_d_arves_73280402",3,"126.67","162.34","188.33"
"St_veran",1,"58.80","50.12","70.35"
"St_veran",2,"52.70","63.76","83.51"
"St_veran",3,"51.88","57.61","83.02"
"St_veran",4,"53.56","28.58","60.08"
"St_veran",5,"11.79","3.49","17.21"
"St_veran",6,"2.52","0.05","1.48"
"St_veran",7,"0.00","0.00","0.00"
"St_veran",8,"0.00","0.00","0.00"
"St_veran",9,"1.72","0.06","1.28"
"St_veran",10,"21.73","1.68","14.20"
"St_veran",11,"45.32","9.22","25.86"
"St_veran",12,"55.57","29.79","49.33"
"St_veran_rm",1,"53.70","50.24","67.80"
"St_veran_rm",2,"52.60","64.51","80.33"
"St_veran_rm",3,"48.71","57.89","86.43"
"Ste_foy_station",1,"93.53","57.74","85.13"
"Ste_foy_station",2,"67.27","74.17","93.60"
"Ste_foy_station",3,"64.07","64.64","95.53"
"Ste_foy_tarentaise",1,"87.13","39.25","63.59"
"Ste_foy_tarentaise",2,"84.33","48.10","73.83"
"Ste_foy_tarentaise",3,"50.48","26.65","54.54"
"Ste_foy_tarentaise",4,"26.45","5.44","21.06"
"Ste_foy_tarentaise",5,"2.83","0.23","3.45"
"Ste_foy_tarentaise",6,"0.13","0.02","0.50"
"Ste_foy_tarentaise",7,"0.00","0.00","0.00"
"Ste_foy_tarentaise",8,"0.00","0.00","0.00"
"Ste_foy_tarentaise",9,"0.15","0.00","0.10"
"Ste_foy_tarentaise",10,"8.53","0.45","5.79"
"Ste_foy_tarentaise",11,"47.09","5.40","26.40"
"Ste_foy_tarentaise",12,"89.89","23.00","50.91"
"Super_devoluy",1,"70.65","60.97","89.12"
"Super_devoluy",2,"57.12","101.92","120.24"
"Super_devoluy",3,"55.28","98.08","118.22"
"Tende_casterino",1,"86.42","53.38","86.17"
"Tende_casterino",2,"38.64","67.86","85.45"
"Tende_casterino",3,"32.73","39.02","70.00"
"Tende_casterino",4,"33.00","17.53","41.11"
"Tende_casterino",5,"10.50","0.29","6.00"
"Tende_casterino",6,"5.00","0.30","4.00"
"Tende_casterino",7,"0.00","0.00","0.00"
"Tende_casterino",8,"0.00","0.00","0.00"
"Tende_casterino",9,"0.25","0.01","0.25"
"Tende_casterino",10,"3.00","0.18","2.60"
"Tende_casterino",11,"20.30","2.07","12.30"
"Tende_casterino",12,"60.45","19.92","39.82"
"Termignon_clim",1,"50.72","26.34","42.45"
"Termignon_clim",2,"43.72","33.13","46.34"
"Termignon_clim",3,"26.72","15.76","38.07"
"Termignon_clim",4,"12.41","0.81","8.86"
"Termignon_clim",5,"3.21","0.13","3.14"
"Termignon_clim",6,"0.00","0.01","0.40"
"Termignon_clim",7,"0.17","0.01","0.17"
"Termignon_clim",8,"0.00","0.00","0.00"
"Termignon_clim",9,"0.00","0.00","0.00"
"Termignon_clim",10,"5.52","0.27","3.69"
"Termignon_clim",11,"29.17","2.96","15.10"
"Termignon_clim",12,"50.34","14.63","31.31"
"Tignes",1,"130.48","95.66","126.92"
"Tignes",2,"108.68","124.06","149.24"
"Tignes",3,"99.96","135.47","161.40"
"Tignes",4,"65.36","99.87","131.00"
"Tignes",5,"42.00","103.00","154.00"
"Tignes",12,"129.60","52.63","87.00"
"Tignes_brevieres",1,"79.20","44.53","67.00"
"Tignes_brevieres",2,"72.00","62.82","84.00"
"Tignes_brevieres",3,"137.50","75.63","110.00"
"Tignes_brevieres",4,"12.67","15.68","39.33"
"Tignes_brevieres",5,"9.10","0.22","5.40"
"Tignes_brevieres",6,"0.00","0.09","2.67"
"Tignes_brevieres",7,"0.00","0.00","0.00"
"Tignes_brevieres",8,"0.00","0.00","0.00"
"Tignes_brevieres",9,"0.00","0.00","0.00"
"Tignes_brevieres",10,"10.89","0.60","8.00"
"Tignes_brevieres",11,"42.38","4.41","22.88"
"Tignes_brevieres",12,"147.33","45.52","80.83"
"Toulon",1,"0.00","0.00","0.00"
"Toulon",2,"2.50","0.15","1.50"
"Toulon",3,"0.00","0.00","0.00"
"Toulon",4,"0.00","0.00","0.00"
"Toulon",7,"0.00","0.00","0.00"
"Trevignin",1,"23.93","3.43","13.70"
"Trevignin",2,"24.26","5.27","14.81"
"Trevignin",3,"14.04","1.77","9.78"
"Trevignin",4,"6.48","0.24","4.07"
"Trevignin",5,"0.04","0.01","0.15"
"Trevignin",6,"0.00","0.00","0.00"
"Trevignin",7,"0.00","0.00","0.00"
"Trevignin",8,"0.00","0.00","0.00"
"Trevignin",9,"0.00","0.00","0.00"
"Trevignin",10,"0.70","0.03","0.67"
"Trevignin",11,"12.81","0.73","6.22"
"Trevignin",12,"22.30","2.98","13.93"
"Vacheresse_auxi",1,"36.44","9.49","23.72"
"Vacheresse_auxi",2,"38.89","15.37","29.50"
"Vacheresse_auxi",3,"27.94","5.23","22.61"
"Vacheresse_auxi",4,"9.83","0.63","8.78"
"Vacheresse_auxi",5,"0.21","0.01","0.21"
"Vacheresse_auxi",6,"0.00","0.00","0.08"
"Vacheresse_auxi",7,"0.00","0.00","0.00"
"Vacheresse_auxi",8,"0.13","0.00","0.00"
"Vacheresse_auxi",9,"0.00","0.00","0.00"
"Vacheresse_auxi",10,"2.29","0.20","2.50"
"Vacheresse_auxi",11,"15.80","1.68","10.07"
"Vacheresse_auxi",12,"34.19","8.64","23.25"
"Val_casterino",1,"80.19","47.20","78.44"
"Val_casterino",2,"63.14","76.16","100.00"
"Val_casterino",3,"28.78","57.65","86.00"
"Val_casterino",4,"30.70","19.77","46.70"
"Val_casterino",5,"5.00","0.16","2.50"
"Val_casterino",6,"0.00","0.00","0.00"
"Val_casterino",7,"0.00","0.00","0.00"
"Val_casterino",8,"0.00","0.00","0.00"
"Val_casterino",9,"0.00","0.00","0.00"
"Val_casterino",10,"0.33","0.01","0.33"
"Val_casterino",11,"27.25","3.48","18.75"
"Val_casterino",12,"58.50","12.58","44.25"
"Val_cenis_la_berche_",1,"104.13","87.29","110.38"
"Val_cenis_la_berche_",2,"93.44","109.18","133.72"
"Val_cenis_la_berche_",3,"87.44","122.52","144.36"
"Val_cenis_la_berche_",4,"58.00","105.22","136.50"
"Val_d_isere",6,"0.00","0.00","0.00"
"Val_d_isere",7,"0.00","0.00","0.00"
"Val_d_isere",8,"0.00","0.00","0.00"
"Val_d_isere",9,"0.00","0.00","0.00"
"Val_d_isere",11,"46.00","7.47","30.00"
"Val_d_isere_joseray",1,"125.64","90.43","123.20"
"Val_d_isere_joseray",2,"101.72","113.39","137.44"
"Val_d_isere_joseray",3,"89.20","119.90","144.68"
"Val_d_isere_joseray",4,"53.12","76.73","113.28"
"Val_d_isere_joseray",6,"0.00","0.00","0.00"
"Val_d_isere_joseray",7,"0.00","0.00","0.00"
"Val_d_isere_joseray",8,"0.00","0.00","0.00"
"Val_d_isere_joseray",9,"1.13","0.04","0.88"
"Val_d_isere_joseray",10,"12.00","0.92","9.00"
"Val_d_isere_joseray",11,"79.00","18.99","42.50"
"Val_d_isere_joseray",12,"126.52","50.39","85.16"
"Val_frejus",1,"98.21","103.75","128.96"
"Val_frejus",2,"81.21","129.80","153.00"
"Val_frejus",3,"79.17","144.52","164.17"
"Val_frejus",4,"31.50","80.63","115.00"
"Val_thorens",1,"141.07","98.31","131.20"
"Val_thorens",2,"100.47","120.47","144.80"
"Val_thorens",3,"121.13","138.72","163.93"
"Val_thorens",4,"72.87","118.64","148.40"
"Val_thorens",11,"138.00","34.33","60.00"
"Val_thorens",12,"142.79","59.21","89.79"
"Valberg",1,"74.41","58.51","84.12"
"Valberg",2,"54.31","73.45","92.19"
"Valberg",3,"40.60","70.69","100.33"
"Valjouffrey",1,"42.00","15.33","30.56"
"Valjouffrey",2,"32.42","17.81","30.24"
"Valjouffrey",3,"17.84","5.41","18.38"
"Valjouffrey",4,"10.75","0.54","6.81"
"Valjouffrey",5,"1.24","0.05","1.06"
"Valjouffrey",6,"0.00","0.00","0.00"
"Valjouffrey",7,"0.00","0.00","0.00"
"Valjouffrey",8,"0.00","0.00","0.00"
"Valjouffrey",9,"0.00","0.00","0.00"
"Valjouffrey",10,"1.40","0.07","1.20"
"Valjouffrey",11,"16.91","1.62","10.91"
"Valjouffrey",12,"33.51","8.22","23.20"
"Valloire",1,"107.13","83.08","108.13"
"Valloire",2,"72.00","105.73","126.76"
"Valloire",3,"89.29","121.52","144.35"
"Valloire_forest",1,"82.53","33.57","58.72"
"Valloire_forest",2,"69.69","48.47","70.69"
"Valloire_forest",3,"54.09","35.33","60.91"
"Valloire_forest",4,"29.44","8.40","31.34"
"Valloire_forest",5,"6.00","0.21","4.73"
"Valloire_forest",6,"0.21","0.01","0.38"
"Valloire_forest",7,"0.00","0.00","0.00"
"Valloire_forest",8,"0.00","0.00","0.00"
"Valloire_forest",9,"0.54","0.02","0.41"
"Valloire_forest",10,"8.86","0.42","5.51"
"Valloire_forest",11,"39.52","4.00","20.27"
"Valloire_forest",12,"59.36","17.02","35.88"
"Vallorcine",1,"84.94","44.47","75.29"
"Vallorcine",2,"90.11","62.92","88.63"
"Vallorcine",3,"40.05","38.31","73.42"
"Vallorcine",4,"22.65","6.01","22.53"
"Vallorcine",5,"2.57","0.11","2.48"
"Vallorcine",6,"0.31","0.02","0.63"
"Vallorcine",7,"0.00","0.00","0.00"
"Vallorcine",8,"0.00","0.00","0.00"
"Vallorcine",9,"0.22","0.01","0.22"
"Vallorcine",10,"5.55","0.23","3.25"
"Vallorcine",11,"42.44","4.74","22.22"
"Vallorcine",12,"83.67","26.59","51.39"
"Valmeinier",1,"110.36","60.59","94.88"
"Valmeinier",2,"91.44","84.34","114.24"
"Valmeinier",3,"75.36","65.31","106.48"
"Valmeinier",12,"73.40","23.97","51.60"
"Valmorel",1,"115.36","51.32","82.24"
"Valmorel",2,"96.40","72.90","101.36"
"Valmorel",3,"68.60","53.84","89.24"
"Valmorel",11,"4.00","0.20","2.00"
"Valmorel",12,"100.67","24.53","52.67"
"Vaujany",1,"49.43","20.42","38.24"
"Vaujany",2,"36.86","28.54","43.71"
"Vaujany",3,"19.14","13.17","31.95"
"Vaujany",4,"11.14","0.73","7.33"
"Vaujany",5,"0.24","0.01","0.24"
"Vaujany",10,"0.00","0.00","0.00"
"Vaujany",11,"16.48","2.01","11.48"
"Vaujany",12,"36.10","9.36","22.38"
"Vaujany_nivo",1,"111.67","71.20","102.95"
"Vaujany_nivo",2,"101.17","97.43","126.26"
"Vaujany_nivo",3,"84.24","99.64","129.48"
"Vaujany_nivo",12,"110.00","35.42","56.00"
"Villar_loubiere",1,"47.35","23.45","41.77"
"Villar_loubiere",2,"36.62","32.19","46.58"
"Villar_loubiere",3,"20.23","12.32","32.81"
"Villar_loubiere",4,"12.22","0.72","8.56"
"Villar_loubiere",5,"0.58","0.03","0.92"
"Villar_loubiere",6,"0.00","0.00","0.00"
"Villar_loubiere",7,"0.00","0.00","0.00"
"Villar_loubiere",8,"0.00","0.00","0.00"
"Villar_loubiere",9,"0.00","0.00","0.00"
"Villar_loubiere",10,"2.88","0.13","1.96"
"Villar_loubiere",11,"22.96","2.36","15.35"
"Villar_loubiere",12,"39.44","12.69","29.63"
"Villar_st_pancrace",1,"37.92","19.35","35.08"
"Villar_st_pancrace",2,"36.25","22.20","35.33"
"Villar_st_pancrace",3,"17.83","7.93","22.17"
"Villar_st_pancrace",4,"7.00","0.31","4.50"
"Villar_st_pancrace",5,"0.15","0.00","0.15"
"Villar_st_pancrace",6,"0.00","0.00","0.00"
"Villar_st_pancrace",7,"0.00","0.00","0.00"
"Villar_st_pancrace",8,"0.00","0.00","0.00"
"Villar_st_pancrace",9,"0.00","0.00","0.00"
"Villar_st_pancrace",10,"6.17","0.17","3.25"
"Villar_st_pancrace",11,"14.46","1.44","8.92"
"Villar_st_pancrace",12,"43.69","11.39","26.69"
"Villard_bois_barbu_38548403",1,"55.53","13.76","34.95"
"Villard_bois_barbu_38548403",2,"53.00","22.30","40.33"
"Villard_bois_barbu_38548403",3,"35.37","9.00","31.26"
"Villard_bois_barbu_38548403",4,"18.44","1.40","11.50"
"Villard_bois_barbu_38548403",5,"1.12","0.08","1.47"
"Villard_bois_barbu_38548403",6,"0.00","0.00","0.00"
"Villard_bois_barbu_38548403",7,"0.00","0.00","0.00"
"Villard_bois_barbu_38548403",8,"0.00","0.00","0.00"
"Villard_bois_barbu_38548403",9,"0.00","0.00","0.00"
"Villard_bois_barbu_38548403",10,"6.25","0.37","4.25"
"Villard_bois_barbu_38548403",11,"28.62","3.52","18.48"
"Villard_bois_barbu_38548403",12,"45.37","10.15","29.79"
"Villard_cote_2000",1,"122.74","59.97","96.95"
"Villard_cote_2000",2,"100.95","94.25","126.76"
"Villard_cote_2000",3,"88.33","95.33","135.19"
"Villard_de_lans_38548001",1,"56.27","16.95","36.94"
"Villard_de_lans_38548001",2,"50.56","21.50","39.29"
"Villard_de_lans_38548001",3,"42.26","10.79","32.98"
"Villard_de_lans_38548001",4,"23.65","2.64","16.46"
"Villard_de_lans_38548001",5,"1.78","0.10","1.86"
"Villard_de_lans_38548001",6,"0.00","0.00","0.00"
"Villard_de_lans_38548001",7,"0.00","0.00","0.00"
"Villard_de_lans_38548001",8,"0.00","0.00","0.00"
"Villard_de_lans_38548001",9,"0.00","0.00","0.00"
"Villard_de_lans_38548001",10,"3.98","0.28","3.04"
"Villard_de_lans_38548001",11,"25.25","2.82","16.77"
"Villard_de_lans_38548001",12,"43.33","9.64","29.44"
